LA date,LA pm25,LA o3,LA no2,LA co,NY date,NY pm25,NY o3,NY no2,NY co
2/7/2021,73,33,18,3,2/7/2021,47,NaN,NaN,NaN
2/6/2021,68,32,23,6,2/6/2021,42,NaN,NaN,NaN
2/5/2021,53,28,27,7,2/5/2021,54,NaN,NaN,NaN
2/4/2021,52,32,23,6,2/4/2021,54,NaN,NaN,NaN
2/3/2021,46,24,18,4,2/3/2021,32,NaN,NaN,NaN
2/2/2021,50,22,17,6,2/2/2021,26,NaN,NaN,NaN
2/1/2021,34,25,24,6,2/1/2021,25,NaN,NaN,NaN
1/31/2021,36,13,25,5,1/31/2021,34,NaN,NaN,NaN
1/30/2021,35,28,18,5,1/30/2021,38,NaN,NaN,NaN
1/29/2021,19,30,15,5,1/29/2021,32,NaN,NaN,NaN
1/28/2021,32,26,12,3,1/28/2021,37,NaN,NaN,NaN
1/27/2021,31,30,16,4,1/27/2021,49,NaN,NaN,NaN
1/26/2021,23,27,19,2,1/26/2021,39,NaN,NaN,NaN
1/25/2021,11,26,13,3,1/25/2021,31,NaN,NaN,NaN
1/24/2021,42,30,6,2,1/24/2021,29,NaN,NaN,NaN
1/23/2021,28,30,9,3,1/23/2021,38,NaN,NaN,NaN
1/22/2021,35,24,13,3,1/22/2021,48,NaN,NaN,NaN
1/21/2021,41,30,15,3,1/21/2021,47,NaN,NaN,NaN
1/20/2021,35,26,21,4,1/20/2021,45,NaN,NaN,NaN
1/19/2021,59,27,22,5,1/19/2021,46,NaN,NaN,NaN
1/18/2021,60,28,10,2,1/18/2021,46,NaN,NaN,NaN
1/17/2021,41,28,26,6,1/17/2021,48,NaN,NaN,NaN
1/16/2021,52,34,25,7,1/16/2021,37,NaN,NaN,NaN
1/15/2021,50,25,33,8,1/15/2021,58,NaN,NaN,NaN
1/14/2021,59,22,36,9,1/14/2021,72,NaN,NaN,NaN
1/13/2021,43,17,35,11,1/13/2021,65,NaN,NaN,NaN
1/12/2021,41,10,33,9,1/12/2021,70,NaN,NaN,NaN
1/11/2021,47,19,31,7,1/11/2021,62,NaN,NaN,NaN
1/10/2021,37,25,27,7,1/10/2021,47,NaN,NaN,NaN
1/9/2021,63,28,20,5,1/9/2021,33,NaN,NaN,NaN
1/8/2021,63,22,29,7,1/8/2021,39,NaN,NaN,NaN
1/7/2021,56,28,34,9,1/7/2021,42,NaN,NaN,NaN
1/6/2021,61,14,31,10,1/6/2021,44,NaN,NaN,NaN
1/5/2021,69,17,29,8,1/5/2021,42,NaN,NaN,NaN
1/4/2021,59,16,22,7,1/4/2021,43,NaN,NaN,NaN
1/3/2021,59,20,20,6,1/3/2021,43,NaN,NaN,NaN
1/2/2021,52,25,16,5,1/2/2021,40,NaN,NaN,NaN
1/1/2021,66,22,20,6,1/1/2021,51,NaN,NaN,NaN
12/31/2020,33,26,20,6,12/31/2020,51,NaN,NaN,NaN
12/30/2020,34,28,17,5,12/30/2020,31,NaN,NaN,NaN
12/29/2020,34,23,25,6,12/29/2020,42,NaN,NaN,NaN
12/28/2020,15,23,20,5,12/28/2020,48,NaN,NaN,NaN
12/27/2020,61,26,9,2,12/27/2020,49,NaN,NaN,NaN
12/26/2020,52,24,14,4,12/26/2020,42,NaN,NaN,NaN
12/25/2020,27,28,19,5,12/25/2020,44,NaN,NaN,NaN
12/24/2020,24,29,10,3,12/24/2020,47,NaN,NaN,NaN
12/23/2020,75,16,21,3,12/23/2020,39,NaN,NaN,NaN
12/22/2020,60,13,29,7,12/22/2020,54,NaN,NaN,NaN
12/21/2020,30,22,30,7,12/21/2020,56,NaN,NaN,NaN
12/20/2020,37,26,27,7,12/20/2020,49,NaN,NaN,NaN
12/19/2020,40,30,24,6,12/19/2020,45,NaN,NaN,NaN
12/18/2020,48,25,25,7,12/18/2020,45,NaN,NaN,NaN
12/17/2020,47,22,23,7,12/17/2020,34,NaN,NaN,NaN
12/16/2020,35,20,24,7,12/16/2020,40,NaN,NaN,NaN
12/15/2020,31,22,27,6,12/15/2020,33,NaN,NaN,NaN
12/14/2020,31,14,26,6,12/14/2020,34,NaN,NaN,NaN
12/13/2020,40,26,17,4,12/13/2020,54,NaN,NaN,NaN
12/12/2020,70,31,15,4,12/12/2020,67,NaN,NaN,NaN
12/11/2020,61,26,19,5,12/11/2020,63,NaN,NaN,NaN
12/10/2020,51,26,18,5,12/10/2020,45,NaN,NaN,NaN
12/9/2020,46,22,21,6,12/9/2020,47,NaN,20,NaN
12/8/2020,44,24,22,7,12/8/2020,23,NaN,NaN,NaN
12/7/2020,60,17,30,9,12/7/2020,27,NaN,NaN,NaN
12/6/2020,56,5,36,11,12/6/2020,21,NaN,NaN,NaN
12/5/2020,59,31,25,8,12/5/2020,25,NaN,NaN,NaN
12/4/2020,32,20,33,9,12/4/2020,41,NaN,NaN,NaN
12/3/2020,47,27,28,6,12/3/2020,36,NaN,NaN,NaN
12/2/2020,60,19,31,9,12/2/2020,29,NaN,NaN,NaN
12/1/2020,42,13,38,10,12/1/2020,34,NaN,NaN,NaN
11/30/2020,37,14,32,9,11/30/2020,39,NaN,NaN,NaN
11/29/2020,35,24,26,7,11/29/2020,41,NaN,NaN,NaN
11/28/2020,42,33,21,6,11/28/2020,32,NaN,NaN,NaN
11/27/2020,44,30,22,6,11/27/2020,37,NaN,NaN,NaN
11/26/2020,60,24,20,6,11/26/2020,34,NaN,NaN,NaN
11/25/2020,63,34,15,5,11/25/2020,34,NaN,NaN,NaN
11/24/2020,66,37,21,6,11/24/2020,29,NaN,NaN,NaN
11/23/2020,74,33,22,5,11/23/2020,31,21,12,2
11/22/2020,75,25,24,6,11/22/2020,24,23,11,2
11/21/2020,57,30,27,8,11/21/2020,51,18,8,2
11/20/2020,59,31,26,8,11/20/2020,45,19,17,3
11/19/2020,54,23,28,8,11/19/2020,28,12,27,3
11/18/2020,46,24,16,4,11/18/2020,28,17,NaN,3
11/17/2020,57,24,16,4,11/17/2020,45,22,7,1
11/16/2020,32,29,32,8,11/16/2020,36,24,NaN,2
11/15/2020,43,27,25,5,11/15/2020,37,22,NaN,2
11/14/2020,66,37,22,6,11/14/2020,32,30,NaN,2
11/13/2020,60,34,22,6,11/13/2020,21,22,NaN,2
11/12/2020,54,32,27,7,11/12/2020,21,5,NaN,2
11/11/2020,52,35,25,6,11/11/2020,28,10,NaN,2
11/10/2020,36,28,25,6,11/10/2020,45,NaN,NaN,NaN
11/9/2020,35,30,20,4,11/9/2020,91,NaN,NaN,NaN
11/8/2020,28,25,14,3,11/8/2020,80,NaN,NaN,NaN
11/7/2020,26,32,5,2,11/7/2020,67,NaN,NaN,NaN
11/6/2020,54,35,6,1,11/6/2020,52,NaN,NaN,NaN
11/5/2020,54,31,14,3,11/5/2020,46,NaN,NaN,NaN
11/4/2020,87,15,28,8,11/4/2020,46,NaN,NaN,NaN
11/3/2020,100,53,28,8,11/3/2020,45,NaN,NaN,NaN
11/2/2020,76,39,26,7,11/2/2020,40,NaN,NaN,NaN
11/1/2020,75,36,29,7,11/1/2020,17,NaN,NaN,NaN
10/31/2020,77,56,28,8,10/31/2020,33,NaN,NaN,NaN
10/30/2020,68,58,27,8,10/30/2020,23,NaN,NaN,NaN
10/29/2020,71,42,35,9,10/29/2020,16,NaN,NaN,NaN
10/28/2020,70,51,33,8,10/28/2020,25,NaN,NaN,NaN
10/27/2020,99,51,25,6,10/27/2020,18,NaN,NaN,NaN
10/26/2020,76,41,24,6,10/26/2020,17,NaN,NaN,NaN
10/25/2020,30,28,23,5,10/25/2020,12,NaN,NaN,NaN
10/24/2020,38,29,6,2,10/24/2020,23,NaN,NaN,NaN
10/23/2020,48,27,7,2,10/23/2020,28,NaN,NaN,NaN
10/22/2020,56,31,9,2,10/22/2020,51,NaN,NaN,NaN
10/21/2020,97,32,13,3,10/21/2020,24,NaN,NaN,NaN
10/20/2020,86,45,14,3,10/20/2020,33,NaN,NaN,NaN
10/19/2020,71,48,12,3,10/19/2020,30,NaN,NaN,NaN
10/18/2020,82,40,11,3,10/18/2020,43,NaN,NaN,NaN
10/17/2020,69,49,14,4,10/17/2020,31,NaN,NaN,NaN
10/16/2020,72,52,23,7,10/16/2020,23,NaN,NaN,NaN
10/15/2020,74,69,35,8,10/15/2020,41,NaN,NaN,NaN
10/14/2020,68,95,33,8,10/14/2020,38,NaN,NaN,NaN
10/13/2020,59,73,34,7,10/13/2020,10,NaN,NaN,NaN
10/12/2020,60,57,27,6,10/12/2020,15,NaN,NaN,NaN
10/11/2020,55,54,22,6,10/11/2020,39,NaN,NaN,NaN
10/10/2020,60,39,10,3,10/10/2020,35,NaN,NaN,NaN
10/9/2020,66,40,6,2,10/9/2020,30,NaN,NaN,NaN
10/8/2020,76,39,8,3,10/8/2020,16,NaN,NaN,NaN
10/7/2020,93,42,7,3,10/7/2020,34,NaN,NaN,NaN
10/6/2020,107,47,20,6,10/6/2020,34,NaN,NaN,NaN
10/5/2020,126,65,28,8,10/5/2020,27,NaN,NaN,NaN
10/4/2020,117,73,28,9,10/4/2020,21,NaN,NaN,NaN
10/3/2020,91,88,22,8,10/3/2020,20,NaN,NaN,NaN
10/2/2020,78,89,27,8,10/2/2020,27,NaN,NaN,NaN
10/1/2020,75,83,31,7,10/1/2020,25,NaN,NaN,NaN
9/30/2020,58,74,30,7,9/30/2020,20,NaN,NaN,NaN
9/29/2020,62,59,27,6,9/29/2020,29,NaN,NaN,NaN
9/28/2020,69,57,17,5,9/28/2020,23,17,13,2
9/27/2020,67,56,14,4,9/27/2020,22,23,NaN,1
9/26/2020,69,52,6,3,9/26/2020,37,26,NaN,2
9/25/2020,71,53,12,3,9/25/2020,70,30,NaN,2
9/24/2020,67,43,17,4,9/24/2020,63,37,NaN,4
9/23/2020,71,56,25,6,9/23/2020,45,25,NaN,3
9/22/2020,73,55,22,8,9/22/2020,15,30,NaN,3
9/21/2020,70,57,13,5,9/21/2020,16,NaN,17,NaN
9/20/2020,68,50,13,4,9/20/2020,10,NaN,15,NaN
9/19/2020,63,59,14,5,9/19/2020,9,NaN,NaN,NaN
9/18/2020,89,47,16,5,9/18/2020,28,NaN,NaN,NaN
9/17/2020,81,69,30,8,9/17/2020,32,NaN,NaN,NaN
9/16/2020,111,43,23,8,9/16/2020,21,NaN,NaN,NaN
9/15/2020,151,61,26,9,9/15/2020,10,22,18,1
9/14/2020,151,58,26,11,9/14/2020,18,19,8,1
9/13/2020,137,63,25,11,9/13/2020,16,21,6,1
9/12/2020,146,62,19,9,9/12/2020,12,22,NaN,NaN
9/11/2020,136,36,25,10,9/11/2020,22,22,NaN,1
9/10/2020,103,42,27,11,9/10/2020,21,22,NaN,1
9/9/2020,62,8,27,10,9/9/2020,31,NaN,NaN,NaN
9/8/2020,66,31,13,5,9/8/2020,33,NaN,NaN,NaN
9/7/2020,74,21,8,2,9/7/2020,25,NaN,NaN,NaN
9/6/2020,69,31,12,4,9/6/2020,28,NaN,NaN,NaN
9/5/2020,86,93,18,6,9/5/2020,13,NaN,5,NaN
9/4/2020,79,81,26,8,9/4/2020,26,NaN,NaN,NaN
9/3/2020,65,71,22,7,9/3/2020,34,NaN,5,NaN
9/2/2020,53,47,17,4,9/2/2020,25,NaN,NaN,NaN
9/1/2020,46,38,11,3,9/1/2020,21,21,14,2
8/31/2020,49,39,7,2,8/31/2020,21,21,NaN,1
8/30/2020,52,40,6,2,8/30/2020,15,20,NaN,1
8/29/2020,50,42,4,2,8/29/2020,24,23,NaN,1
8/28/2020,56,38,5,2,8/28/2020,43,24,NaN,1
8/27/2020,70,37,12,3,8/27/2020,43,33,NaN,1
8/26/2020,48,42,13,5,8/26/2020,16,40,NaN,1
8/25/2020,56,32,14,4,8/25/2020,41,22,NaN,NaN
8/24/2020,75,29,12,4,8/24/2020,33,42,NaN,NaN
8/23/2020,93,27,6,2,8/23/2020,35,44,NaN,2
8/22/2020,81,40,5,3,8/22/2020,46,34,NaN,2
8/21/2020,87,50,11,4,8/21/2020,39,40,NaN,2
8/20/2020,70,43,16,4,8/20/2020,17,42,NaN,2
8/19/2020,67,39,17,4,8/19/2020,35,36,7,1
8/18/2020,70,56,17,4,8/18/2020,28,23,NaN,3
8/17/2020,67,77,17,4,8/17/2020,22,33,NaN,1
8/16/2020,66,41,16,4,8/16/2020,12,35,NaN,1
8/15/2020,65,34,8,2,8/15/2020,25,19,NaN,1
8/14/2020,56,63,19,5,8/14/2020,27,29,NaN,2
8/13/2020,44,40,21,5,8/13/2020,44,41,NaN,2
8/12/2020,49,39,17,3,8/12/2020,56,32,NaN,2
8/11/2020,40,39,17,4,8/11/2020,55,60,NaN,2
8/10/2020,39,31,10,2,8/10/2020,59,38,NaN,2
8/9/2020,49,32,7,1,8/9/2020,39,68,NaN,2
8/8/2020,54,34,4,1,8/8/2020,29,46,NaN,2
8/7/2020,49,37,8,2,8/7/2020,46,39,NaN,2
8/6/2020,49,38,12,2,8/6/2020,48,45,NaN,4
8/5/2020,50,35,7,2,8/5/2020,38,54,NaN,4
8/4/2020,60,32,8,2,8/4/2020,54,41,14,2
8/3/2020,68,35,11,2,8/3/2020,33,23,NaN,1
8/2/2020,68,42,14,3,8/2/2020,33,41,NaN,1
8/1/2020,67,42,13,4,8/1/2020,38,34,NaN,1
7/31/2020,64,43,19,5,7/31/2020,26,53,NaN,2
7/30/2020,55,44,23,6,7/30/2020,37,41,NaN,2
7/29/2020,50,38,14,3,7/29/2020,26,59,NaN,2
7/28/2020,49,36,8,2,7/28/2020,36,55,NaN,2
7/27/2020,47,34,9,2,7/27/2020,49,40,4,1
7/26/2020,48,32,9,2,7/26/2020,36,47,NaN,1
7/25/2020,48,35,6,2,7/25/2020,42,42,NaN,1
7/24/2020,40,42,7,2,7/24/2020,28,62,NaN,2
7/23/2020,43,35,7,2,7/23/2020,46,29,NaN,2
7/22/2020,48,31,7,1,7/22/2020,62,47,NaN,2
7/21/2020,62,29,7,2,7/21/2020,38,NaN,12,NaN
7/20/2020,35,35,10,2,7/20/2020,44,NaN,NaN,NaN
7/19/2020,42,33,9,2,7/19/2020,57,NaN,NaN,NaN
7/18/2020,23,32,7,2,7/18/2020,51,NaN,NaN,NaN
7/17/2020,28,33,6,2,7/17/2020,31,NaN,NaN,NaN
7/16/2020,47,37,5,2,7/16/2020,6,NaN,11,NaN
7/15/2020,49,37,6,2,7/15/2020,22,22,3,1
7/14/2020,62,37,6,2,7/14/2020,16,35,8,1
7/13/2020,63,36,7,2,7/13/2020,14,30,12,1
7/12/2020,55,38,9,2,7/12/2020,22,45,10,1
7/11/2020,50,50,10,2,7/11/2020,40,39,3,1
7/10/2020,69,55,12,3,7/10/2020,8,29,4,1
7/9/2020,65,61,13,3,7/9/2020,26,20,6,1
7/8/2020,65,50,11,2,7/8/2020,27,22,5,1
7/7/2020,66,41,9,2,7/7/2020,21,27,4,1
7/6/2020,69,43,12,2,7/6/2020,56,35,8,1
7/5/2020,183,52,16,4,7/5/2020,63,57,14,2
7/4/2020,96,48,11,3,7/4/2020,55,55,6,2
7/3/2020,49,43,13,3,7/3/2020,51,34,3,1
7/2/2020,44,45,9,2,7/2/2020,33,46,8,2
7/1/2020,50,39,5,1,7/1/2020,31,48,11,2
6/30/2020,34,34,8,1,6/30/2020,17,46,7,2
6/29/2020,25,30,6,2,6/29/2020,21,34,6,1
6/28/2020,19,28,5,1,6/28/2020,45,32,8,1
6/27/2020,51,23,3,1,6/27/2020,56,50,7,1
6/26/2020,37,37,7,2,6/26/2020,38,38,NaN,2
6/25/2020,46,35,8,2,6/25/2020,37,44,25,1
6/24/2020,49,36,9,2,6/24/2020,47,52,9,1
6/23/2020,54,39,8,2,6/23/2020,36,37,14,1
6/22/2020,51,44,9,2,6/22/2020,23,NaN,NaN,NaN
6/21/2020,42,48,7,2,6/21/2020,29,NaN,NaN,NaN
6/20/2020,37,42,3,1,6/20/2020,42,NaN,9,NaN
6/19/2020,46,34,2,1,6/19/2020,22,NaN,NaN,NaN
6/18/2020,45,36,7,1,6/18/2020,16,NaN,NaN,NaN
6/17/2020,39,32,7,2,6/17/2020,20,10,7,1
6/16/2020,45,31,6,1,6/16/2020,23,30,10,1
6/15/2020,44,35,6,1,6/15/2020,26,32,14,1
6/14/2020,39,33,9,2,6/14/2020,17,31,10,1
6/13/2020,39,40,6,1,6/13/2020,11,30,3,1
6/12/2020,46,35,7,1,6/12/2020,28,36,5,1
6/11/2020,50,37,9,1,6/11/2020,35,46,14,2
6/10/2020,34,52,20,3,6/10/2020,45,26,7,1
6/9/2020,14,68,17,3,6/9/2020,42,41,10,1
6/8/2020,17,42,12,2,6/8/2020,18,61,15,2
6/7/2020,34,44,5,1,6/7/2020,20,34,8,1
6/6/2020,29,35,4,1,6/6/2020,26,31,3,NaN
6/5/2020,30,29,2,1,6/5/2020,37,50,8,NaN
6/4/2020,58,23,4,1,6/4/2020,40,38,10,NaN
6/3/2020,56,41,9,1,6/3/2020,44,53,13,NaN
6/2/2020,51,41,14,2,6/2/2020,24,44,9,NaN
6/1/2020,42,33,14,2,6/1/2020,11,42,16,NaN
5/31/2020,33,33,12,2,5/31/2020,9,33,4,NaN
5/30/2020,21,32,6,1,5/30/2020,21,NaN,NaN,NaN
5/29/2020,32,24,3,1,5/29/2020,19,NaN,NaN,NaN
5/28/2020,47,19,8,1,5/28/2020,15,NaN,7,NaN
5/27/2020,58,31,8,2,5/27/2020,6,NaN,4,NaN
5/26/2020,59,40,8,3,5/26/2020,35,NaN,10,NaN
5/25/2020,64,27,10,3,5/25/2020,23,23,14,NaN
5/24/2020,61,42,8,3,5/24/2020,24,27,6,NaN
5/23/2020,46,46,7,2,5/23/2020,14,31,4,NaN
5/22/2020,47,39,2,1,5/22/2020,29,31,6,NaN
5/21/2020,40,26,8,1,5/21/2020,23,31,15,NaN
5/20/2020,28,28,13,3,5/20/2020,12,30,10,NaN
5/19/2020,23,19,7,1,5/19/2020,17,34,10,NaN
5/18/2020,14,27,5,1,5/18/2020,14,34,8,NaN
5/17/2020,46,23,3,1,5/17/2020,9,38,11,NaN
5/16/2020,45,33,7,2,5/16/2020,24,38,3,1
5/15/2020,40,37,8,2,5/15/2020,51,38,6,1
5/14/2020,33,28,8,2,5/14/2020,33,46,16,2
5/13/2020,31,24,9,1,5/13/2020,24,40,16,3
5/12/2020,28,30,8,1,5/12/2020,14,33,12,1
5/11/2020,42,23,7,1,5/11/2020,22,37,7,1
5/10/2020,57,35,4,1,5/10/2020,15,29,10,1
5/9/2020,71,37,4,1,5/9/2020,11,39,6,1
5/8/2020,74,41,7,2,5/8/2020,17,NaN,5,NaN
5/7/2020,59,40,18,4,5/7/2020,18,NaN,11,NaN
5/6/2020,55,64,20,4,5/6/2020,19,37,9,2
5/5/2020,57,52,21,4,5/5/2020,16,32,11,1
5/4/2020,56,47,17,4,5/4/2020,21,37,6,1
5/3/2020,37,39,12,3,5/3/2020,35,36,7,1
5/2/2020,48,27,6,2,5/2/2020,17,43,9,2
5/1/2020,55,34,9,2,5/1/2020,11,34,6,1
4/30/2020,65,33,9,2,4/30/2020,19,33,16,2
4/29/2020,68,30,9,2,4/29/2020,22,NaN,8,NaN
4/28/2020,62,32,12,2,4/28/2020,17,NaN,13,NaN
4/27/2020,60,28,15,3,4/27/2020,8,NaN,10,NaN
4/26/2020,61,38,14,3,4/26/2020,16,NaN,8,NaN
4/25/2020,56,54,13,3,4/25/2020,33,NaN,7,NaN
4/24/2020,49,67,12,2,4/24/2020,20,12,17,2
4/23/2020,59,43,13,3,4/23/2020,22,22,15,2
4/22/2020,43,35,19,3,4/22/2020,13,25,NaN,NaN
4/21/2020,37,35,11,3,4/21/2020,20,31,NaN,NaN
4/20/2020,30,28,8,2,4/20/2020,21,30,8,1
4/19/2020,19,27,6,2,4/19/2020,38,32,13,2
4/18/2020,21,28,1,1,4/18/2020,22,40,12,2
4/17/2020,30,27,3,1,4/17/2020,24,31,10,2
4/16/2020,44,25,7,2,4/16/2020,25,36,12,2
4/15/2020,35,34,11,3,4/15/2020,26,33,8,1
4/14/2020,34,37,14,3,4/14/2020,15,34,7,NaN
4/13/2020,21,29,11,3,4/13/2020,29,NaN,8,NaN
4/12/2020,29,26,6,2,4/12/2020,39,NaN,7,NaN
4/11/2020,33,23,4,1,4/11/2020,26,NaN,16,NaN
4/10/2020,12,30,8,2,4/10/2020,20,NaN,7,NaN
4/9/2020,11,26,8,2,4/9/2020,24,NaN,6,NaN
4/8/2020,15,22,6,1,4/8/2020,41,NaN,12,NaN
4/7/2020,13,28,8,2,4/7/2020,27,NaN,16,NaN
4/6/2020,NaN,23,9,2,4/6/2020,25,NaN,12,NaN
4/5/2020,NaN,27,5,1,4/5/2020,41,NaN,9,NaN
4/4/2020,NaN,21,2,1,4/4/2020,14,NaN,19,NaN
4/3/2020,50,30,7,2,4/3/2020,13,NaN,8,NaN
4/2/2020,47,32,11,2,4/2/2020,14,NaN,6,NaN
4/1/2020,49,29,5,1,4/1/2020,20,NaN,6,NaN
3/31/2020,NaN,31,14,2,3/31/2020,NaN,NaN,8,NaN
3/28/2020,34,NaN,NaN,NaN,3/29/2020,7,NaN,NaN,NaN
3/27/2020,27,32,6,1,3/28/2020,26,NaN,3,NaN
3/26/2020,17,30,10,2,3/27/2020,37,NaN,10,NaN
3/25/2020,17,28,7,1,3/26/2020,31,NaN,16,NaN
3/24/2020,23,28,4,1,3/25/2020,24,NaN,16,NaN
3/23/2020,15,27,8,2,3/24/2020,20,NaN,9,NaN
3/22/2020,21,29,4,2,3/23/2020,21,NaN,10,NaN
3/21/2020,26,26,6,2,3/22/2020,29,NaN,12,NaN
3/20/2020,21,29,6,2,3/21/2020,22,NaN,7,NaN
3/19/2020,24,25,8,2,3/20/2020,41,NaN,5,NaN
3/18/2020,28,24,11,3,3/19/2020,22,NaN,21,NaN
3/17/2020,24,28,13,3,3/18/2020,29,NaN,16,NaN
3/16/2020,32,25,13,3,3/17/2020,33,NaN,14,NaN
3/15/2020,22,22,11,3,3/16/2020,22,NaN,20,NaN
3/14/2020,30,29,5,2,3/15/2020,22,NaN,11,NaN
3/13/2020,31,23,12,2,3/14/2020,28,NaN,7,NaN
3/12/2020,38,14,14,2,3/13/2020,28,NaN,7,NaN
3/11/2020,27,8,16,5,3/12/2020,39,NaN,13,NaN
3/10/2020,25,19,9,2,3/11/2020,26,NaN,19,NaN
3/9/2020,29,13,9,2,3/10/2020,43,NaN,15,NaN
3/8/2020,19,21,13,3,3/9/2020,47,NaN,21,NaN
3/7/2020,25,24,6,2,3/8/2020,27,NaN,24,NaN
3/6/2020,63,24,6,1,3/7/2020,24,NaN,12,NaN
3/5/2020,64,26,17,4,3/6/2020,23,NaN,9,NaN
3/4/2020,59,30,16,4,3/5/2020,20,NaN,19,NaN
3/3/2020,38,24,18,5,3/4/2020,20,NaN,12,NaN
3/2/2020,31,24,21,4,3/3/2020,37,NaN,10,NaN
3/1/2020,38,28,15,4,3/2/2020,39,NaN,22,NaN
2/29/2020,45,29,5,1,3/1/2020,30,NaN,27,NaN
2/28/2020,29,30,15,3,2/29/2020,26,NaN,13,NaN
2/27/2020,34,25,24,4,2/28/2020,29,NaN,NaN,NaN
2/26/2020,42,23,29,6,2/27/2020,23,NaN,NaN,NaN
2/25/2020,49,26,25,7,2/26/2020,23,NaN,NaN,NaN
2/24/2020,58,28,24,7,2/25/2020,45,NaN,NaN,NaN
2/23/2020,41,26,17,5,2/24/2020,59,NaN,29,NaN
2/22/2020,32,26,9,3,2/23/2020,47,NaN,28,NaN
2/21/2020,47,25,6,1,2/22/2020,38,NaN,NaN,NaN
2/20/2020,64,31,24,4,2/21/2020,32,NaN,23,NaN
2/19/2020,77,29,26,6,2/20/2020,32,NaN,14,NaN
2/18/2020,71,29,15,3,2/19/2020,38,NaN,11,NaN
2/17/2020,70,27,20,4,2/18/2020,46,NaN,10,NaN
2/16/2020,63,32,24,6,2/17/2020,50,NaN,NaN,NaN
2/15/2020,64,35,19,6,2/16/2020,47,NaN,NaN,NaN
2/14/2020,63,29,22,6,2/15/2020,32,NaN,NaN,NaN
2/13/2020,56,29,25,6,2/14/2020,40,NaN,NaN,NaN
2/12/2020,45,28,20,5,2/13/2020,41,NaN,NaN,NaN
2/11/2020,34,24,24,5,2/12/2020,42,NaN,NaN,NaN
2/10/2020,36,27,23,4,2/11/2020,48,NaN,NaN,NaN
2/9/2020,46,24,23,4,2/10/2020,38,NaN,NaN,NaN
2/8/2020,70,26,12,2,2/9/2020,49,NaN,NaN,NaN
2/7/2020,58,31,23,7,2/8/2020,47,NaN,NaN,NaN
2/6/2020,45,27,26,7,2/7/2020,33,NaN,12,NaN
2/5/2020,26,23,25,6,2/6/2020,29,NaN,15,NaN
2/4/2020,31,20,27,5,2/5/2020,26,NaN,19,NaN
2/3/2020,16,17,32,5,2/4/2020,67,NaN,26,NaN
2/2/2020,47,29,5,2,2/3/2020,55,NaN,36,NaN
2/1/2020,34,28,18,4,2/2/2020,46,NaN,24,NaN
1/31/2020,40,25,25,6,2/1/2020,53,NaN,16,NaN
1/30/2020,35,20,29,9,1/31/2020,53,NaN,29,NaN
1/29/2020,37,19,28,7,1/30/2020,39,NaN,35,NaN
1/28/2020,33,22,25,5,1/29/2020,32,NaN,22,NaN
1/27/2020,70,15,29,5,1/28/2020,34,NaN,12,NaN
1/26/2020,110,17,24,6,1/27/2020,40,NaN,11,NaN
1/25/2020,85,21,16,4,1/26/2020,36,NaN,16,NaN
1/24/2020,53,12,28,9,1/25/2020,36,NaN,14,NaN
1/23/2020,48,12,30,8,1/24/2020,78,NaN,15,NaN
1/22/2020,47,18,24,7,1/23/2020,73,NaN,43,NaN
1/21/2020,39,18,21,5,1/22/2020,54,NaN,42,NaN
1/20/2020,60,23,17,3,1/21/2020,39,NaN,37,NaN
1/19/2020,32,17,28,7,1/20/2020,35,NaN,17,NaN
1/18/2020,32,17,25,5,1/19/2020,42,NaN,10,NaN
1/17/2020,30,20,22,5,1/18/2020,32,NaN,11,NaN
1/16/2020,70,18,19,4,1/17/2020,42,NaN,22,NaN
1/15/2020,81,22,21,5,1/16/2020,46,NaN,9,NaN
1/14/2020,62,21,26,7,1/15/2020,58,NaN,12,NaN
1/13/2020,61,21,23,6,1/14/2020,42,NaN,20,NaN
1/12/2020,58,24,21,5,1/13/2020,49,NaN,21,NaN
1/11/2020,55,26,16,5,1/12/2020,46,NaN,17,NaN
1/10/2020,47,18,21,7,1/11/2020,53,NaN,7,NaN
1/9/2020,45,15,24,7,1/10/2020,51,NaN,22,NaN
1/8/2020,49,20,22,5,1/9/2020,46,NaN,29,NaN
1/7/2020,28,17,23,5,1/8/2020,49,NaN,17,NaN
1/6/2020,40,17,27,5,1/7/2020,49,NaN,15,NaN
1/5/2020,62,19,29,6,1/6/2020,52,NaN,23,NaN
1/4/2020,68,19,24,7,1/5/2020,40,NaN,22,NaN
1/3/2020,54,17,29,8,1/4/2020,57,NaN,7,NaN
1/2/2020,63,11,31,7,1/3/2020,66,NaN,21,NaN
1/1/2020,63,18,24,6,1/2/2020,59,NaN,30,NaN
12/31/2019,NaN,24,19,4,1/1/2020,40,NaN,29,NaN
12/29/2019,56,NaN,NaN,NaN,12/29/2019,54,NaN,NaN,NaN
12/28/2019,46,22,18,5,12/28/2019,58,NaN,NaN,NaN
12/27/2019,36,21,20,5,12/27/2019,53,NaN,18,NaN
12/26/2019,24,16,23,4,12/26/2019,65,NaN,29,NaN
12/25/2019,34,27,11,2,12/25/2019,54,NaN,24,NaN
12/24/2019,40,22,7,1,12/24/2019,50,NaN,28,NaN
12/23/2019,26,21,15,3,12/23/2019,75,NaN,22,NaN
12/22/2019,44,24,9,1,12/22/2019,68,NaN,37,NaN
12/21/2019,38,25,19,3,12/21/2019,52,NaN,29,NaN
